USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Baker Creek,21-Jun-29,38.96917,-114.28,male,,Tamias,Rodentia,Sciuridae,8675,8675,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Baker Creek,25-Jun-29,38.96917,-114.28,male,,Tamias,Rodentia,Sciuridae,8000,8000,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Baker Creek,25-Jun-29,38.96917,-114.28,female,,Tamias,Rodentia,Sciuridae,8000,8000,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Baker Creek,25-Jun-29,38.96917,-114.28,female,,Tamias,Rodentia,Sciuridae,8000,8000,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Baker Creek,26-Jun-29,38.96917,-114.28,female,,Tamias,Rodentia,Sciuridae,8300,8300,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Baker Creek,26-Jun-29,38.96917,-114.28,female,,Tamias,Rodentia,Sciuridae,8300,8300,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Baker Creek,26-Jun-29,38.96917,-114.28,female,,Tamias,Rodentia,Sciuridae,8300,8300,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Baker Creek,26-Jun-29,38.96917,-114.28,male,,Tamias,Rodentia,Sciuridae,8300,8300,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"0.5 mi E Stella Lake, Snake Mts.",6-Jul-29,39.005,-114.30738,male,,Tamias,Rodentia,Sciuridae,10400,10400,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"0.5 mi E Stella Lake, Snake Mts.",7-Jul-29,39.005,-114.30738,female,,Tamias,Rodentia,Sciuridae,10500,10500,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"0.5 mi E Stella Lake, Snake Mts.",8-Jul-29,39.005,-114.30738,male,,Tamias,Rodentia,Sciuridae,10400,10400,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"0.5 mi E Stella Lake, Snake Mts.",8-Jul-29,39.005,-114.30738,male,,Tamias,Rodentia,Sciuridae,10400,10400,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Teresa Lake, Snake Mts.",8-Jul-29,39.00306,-114.31056,male,,Tamias,Rodentia,Sciuridae,10500,10500,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"0.5 mi W Stella Lake, Snake Mts.",8-Jul-29,39.005,-114.32596,female,,Tamias,Rodentia,Sciuridae,10500,10500,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"0.5 mi W Stella Lake, Snake Mts.",8-Jul-29,39.005,-114.32596,male,,Tamias,Rodentia,Sciuridae,10500,10500,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Wisconsin Creek,21-May-30,38.95,-117.22,female,,Tamias,Rodentia,Sciuridae,7800,7800,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Wisconsin Creek,22-May-30,38.95,-117.22,female,,Tamias,Rodentia,Sciuridae,7800,7800,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Ridge S of Wisconsin Creek,25-May-30,38.94861,-117.22056,female,,Tamias,Rodentia,Sciuridae,8000,8400,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Ridge S of Wisconsin Creek,25-May-30,38.94861,-117.22056,male,,Tamias,Rodentia,Sciuridae,8000,8400,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Ridge S of Wisconsin Creek,25-May-30,38.94861,-117.22056,female,,Tamias,Rodentia,Sciuridae,8000,8400,Tamias umbrinus
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Ridge S of Wisconsin Creek,25-May-30,38.94861,-117.22056,female,,Tamias,Rodentia,Sciuridae,8000,8400,Tamias umbrinus
