USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,4 mi W Fallon,11-Apr-38,39.47361,-118.8512,female,,Urocitellus,Rodentia,Sciuridae,4000,4000,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Smoke Creek,22-Apr-41,40.53,-119.384,female,,Urocitellus,Rodentia,Sciuridae,3900,3900,Urocitellus mollis
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Fallon,13-Apr-32,39.47361,-118.54611,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,Montello,24-Mar-16,41.26577698,-114.217105,female,adult,Urocitellus,Rodentia,Sciuridae,1527,1527,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/licenses/by-nc/3.0,United States,Nevada,"4 km W of junction of Highway 376 and Peavine Canyon Road, off Peavine Canyon Road",20-Mar-16,38.54424602,-117.23546,male,adult,Urocitellus,Rodentia,Sciuridae,1757,1757,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/12/79,40.91722,-118.38278,female,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/9/79,40.91722,-118.38278,female,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/9/79,40.91722,-118.38278,female,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/9/79,40.91722,-118.38278,male,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/9/79,40.91722,-118.38278,male,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/12/79,40.91722,-118.38278,male,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/10/79,40.91722,-118.38278,female,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/10/79,40.91722,-118.38278,female,adult,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/10/79,40.91722,-118.38278,female,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
http://arctosdb.org/home/data/; https://creativecommons.org/publicdomain/zero/1.0,United States,Nevada,"near Jungo, 18 mi E Sulphur",4/10/79,40.91722,-118.38278,male,,Urocitellus,Rodentia,Sciuridae,1280.16,1280.16,Urocitellus mollis
