Species;Family;Clade;type_of_care;number_of_parents;care_duration;care_duration_in_males;care_in_males_binary;care_duration_in_females;care_in_females_binary;protection;protection_in_males;protection_in_females;nourishment_by_females;nourishment_by_females_binary;terrestrial_reproduction;direct_development;female_SVL ;male_SVL;average_male_female_SVL;SSD;Egg_diameter;Log_egg_diameter;Clutch_size;Log_Clutch_size;Clutch_volume;Log_Clutch_volume;Parental care references;Terrestrial / aquatic reproduction references;Direct development references;Female size references;Male size references;Egg size references;Clutch size references
Acanthixalus_spinosus;Hyperoliidae;Afrobatrachia;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;34,1;NA;NA;NA;2;0,3;9;0,95;28,26;1,45;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Acris_crepitans;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;25,6;22,8;24,2;-0,05;1,43165;0,16;252,25;2,4;405,86;2,61;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2030;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Acris_gryllus;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;24,5;22;23,25;-0,05;1,175;0,07;120,25;2,08;130,33;2,12;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2026;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Adelotus_brevis;Limnodynastidae;Australobatrachia;male-only care ;1;1;1;1;0;0;2;2;0;0;0;1;absent;32,03;35,5;33,76;0,04;1,9;0,28;270;2,43;765,14;2,88;Wikipedia;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012
Adelphobates_castaneoticus;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;20,5;NA;NA;NA;2;0,3;7;0,85;21,98;1,34;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Adelphobates_quinquevittatus;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;17,3;16,6;16,95;-0,02;NA;NA;NA;NA;NA;NA;Amphibiaweb, dendrobase.hu;;Gomez-Mestre et al. 2012;Han & Fu 2013;Han & Fu 2013;;
Adenomera_andreae;Leptodactylidae;Diphyabatracea;male-only care ;1;1;1;1;1;1;1;1;0;2;1;1;absent;24,05;23,3;23,68;-0,01;3;0,48;12;1,08;84,78;1,93;Amphibiaweb;Gomez-Mestre et al. 2016;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Adenomera_hylaedactyla;Leptodactylidae;Diphyabatracea;male-only care ;1;1;1;1;1;1;1;1;0;2;1;1;absent;24,85;22,7;23,78;-0,04;2,9;0,46;14,5;1,16;95,73;1,98;Amphibiaweb;Gomez-Mestre et al. 2019;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Agalychnis_annae;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;69,6;NA;NA;NA;3,415;0,53;104,5;2,02;956,68;2,98;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Agalychnis_callidryas;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;64,1;48,2;56,15;-0,12;3,45;0,54;193,25;2,29;1805,62;3,26;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Agalychnis_dacnicolor;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;83,5;67,6;75,55;-0,09;2,95;0,47;272,75;2,44;1863,28;3,27;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Agalychnis_lemur;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;44,45;33,8;39,13;-0,12;3,325;0,52;33,5;1,53;290,74;2,46;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Agalychnis_litodryas;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Han & Fu 2013;;Gomez-Mestre et al. 2012;;;;
Agalychnis_moreletii;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;74,45;NA;NA;NA;3,65;0,56;72,5;1,86;758,22;2,88;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Agalychnis_psilopygion;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;4,3;0,63;NA;NA;NA;NA;Summers et al. 2006;;Gomez-Mestre et al. 2012;;;Summers et al. 2006;
Agalychnis_saltator;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;55,88;43,3;49,59;-0,11;4,275;0,63;51,5;1,71;738,84;2,87;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Agalychnis_spurrelli;Hylidae;Hylidae;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;75,75;62;68,88;-0,09;3,85;0,59;55,5;1,74;645,78;2,81;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Aglyptodactylus_laticeps;Mantellidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;60,4;NA;NA;NA;1,34;0,13;3458,5;3,54;4874,91;3,69;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2185;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Aglyptodactylus_madagascariensis;Mantellidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;50,9;NA;NA;NA;1,375;0,14;2232,5;3,35;3313,34;3,52;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2144;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Alexteroon_obstetricans;Hyperoliidae;Afrobatrachia;female-only care ;1;1;0;0;1;1;2;0;2;0;0;1;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;;;
Allobates_caeruleodactylus;Dendrobatidae;Agastorophrynia;male-only care ;1;1;1;1;0;0;2;2;0;0;0;NA;absent;16,3;15,5;15,9;-0,02;NA;NA;NA;NA;NA;NA;Lima et al 2002;;Gomez-Mestre et al. 2012;Han & Fu 2013;Han & Fu 2013;;
Allobates_chalcopis;Dendrobatidae;Agastorophrynia;male-only care ;1;1;1;1;0;0;NA;NA;0;0;0;NA;absent;17,25;17,4;17;0;NA;NA;NA;NA;NA;NA;Wells 2007;;Gomez-Mestre et al. 2012;Amphibiaweb;Amphibiaweb;;
Allobates_femoralis;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;27,93;24,9;26,41;-0,05;1,825;0,26;32,5;1,51;84,97;1,93;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Allobates_juanii;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb;;Gomez-Mestre et al. 2012;;;;
Allobates_mandelorum;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stuart et al. 2008;;Gomez-Mestre et al. 2012;;;;
Allobates_marchesianus;Dendrobatidae;Agastorophrynia;either parent;1;2;2;1;2;1;3;3;3;0;0;NA;absent;NA;NA;NA;NA;1,75;0,24;NA;NA;NA;NA;Wikipedia;;Gomez-Mestre et al. 2012;;;Summers et al. 2006;
Allobates_mcdiarmidi;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Wells 2007;;Gomez-Mestre et al. 2012;;;;
Allobates_nidicola;Dendrobatidae;Agastorophrynia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;absent;20,2;19,6;19,9;-0,01;2,4;0,38;4;0,6;18,09;1,26;IUCN;;Gomez-Mestre et al. 2012;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Allobates_olfersioides;Dendrobatidae;Agastorophrynia;either parent;1;2;2;1;2;1;3;3;3;0;0;NA;absent;NA;NA;NA;NA;1,5;0,18;8;0,9;14,13;1,15;Wells 2007, Wikipedia;;Gomez-Mestre et al. 2012;;;Amphibiaweb;Amphibiaweb
Allobates_talamancae;Dendrobatidae;Agastorophrynia;either parent;1;2;2;1;2;1;3;3;3;0;0;1;absent;24;22,7;23,35;-0,02;NA;NA;18;1,26;NA;NA;Wells 2007, Amphibiaweb;Gomez-Mestre et al. 2014;Gomez-Mestre et al. 2012;Han & Fu 2013;Han & Fu 2013;;Han & Fu 2013
Allobates_wayuu;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stuart et al. 2008;;Stuart et al. 2008;;;;
Allophryne_ruthveni;Allophrynidae;Diphyabatracea;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;26,9;22,6;24,75;-0,08;1;0;300;2,48;235,5;2,37;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013
Altiphrynoides_malcolmi;Bufonidae;Agastorophrynia;male-only care ;1;1;1;1;0;0;2;2;0;0;0;NA;absent;32;21;26,5;-0,18;2,6;0,41;20;1,3;106,13;2,03;Amphibiaweb, Wikipedia;;Gomez-Mestre et al. 2012;Amphibiaweb;Amphibiaweb;Summers et al. 2006;Amphibiaweb
Alytes_cisternasii;Alytidae;Costata;male-only care ;1;1;1;1;0;0;3;3;0;0;0;1;absent;34,9;NA;NA;NA;3,375;0,53;94,5;1,98;844,99;2,93;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Alytes_dickhilleni;Alytidae;Costata;male-only care ;1;1;1;1;0;0;3;3;0;0;0;1;absent;42,65;NA;NA;NA;3,9;0,59;36;1,56;429,83;2,63;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Alytes_muletensis;Alytidae;Costata;male-only care ;1;1;1;1;0;0;3;3;0;0;0;1;absent;33,35;NA;NA;NA;5,35;0,73;15,5;1,19;348,26;2,54;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Summers et al. 2006;Gomez-Mestre et al. 2012
Alytes_obstetricans;Alytidae;Costata;male-only care ;1;1;1;1;0;0;3;3;0;0;0;1;absent;45;NA;NA;NA;3,075;0,49;59;1,77;437,94;2,64;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Amazophrynella_minuta;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;20,5;16,5;18,5;-0,09;0,7125;-0,15;160;2,2;63,76;1,8;Gomez-Mestre et al. 2012, Han & Fu 2013;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Ameerega_bassleri;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;IUCN;;Wells 2007;;;;
Ameerega_bilinguis;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;20,95;NA;NA;NA;2,7;0,43;11;1,04;62,95;1,8;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Ameerega_braccata;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Wells 2007;;Wells 2007;;;;
Ameerega_erythromos;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Wells 2007;;Wells 2007;;;;
Ameerega_flavopicta;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Wells 2007;;Wells 2007;;;;
Ameerega_hahneli;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;20,75;18;19,38;-0,06;2,3;0,36;20,75;1,32;86,17;1,94;IUCN;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Ameerega_macero;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Wells 2007;;Wells 2007;;;;
Ameerega_parvula;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;21,85;19;20,43;-0,06;3,075;0,49;8,75;0,94;64,95;1,81;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Ameerega_petersi;Dendrobatidae;Agastorophrynia;biparental care;2;2;2;1;2;1;3;3;3;0;0;NA;absent;28;24,8;26,4;-0,05;NA;NA;NA;NA;NA;NA;Wells 2007;;Wells 2007;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;;
Ameerega_picta;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;24,2;23,2;23,7;-0,02;2;0,3;19;1,28;59,66;1,78;Wells 2007;Gomez-Mestre et al. 2017;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Ameerega_pulchripecta;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;26;22,6;24,3;-0,06;NA;NA;NA;NA;NA;NA;Amphibiaweb;;Wells 2007;Han & Fu 2013;Han & Fu 2013;;
Ameerega_silverstonei;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;42,3;35,9;39,1;-0,07;2;0,3;30;1,48;94,2;1,97;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Ameerega_smaragdina;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Wells 2007;;Wells 2007;;;;
Ameerega_trivittata;Dendrobatidae;Agastorophrynia;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;46,05;37,9;41,98;-0,08;3,075;0,49;48;1,68;356,29;2,55;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Amietia_angolensis;Pyxicephalidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;NA;NA;NA;NA;1,5;0,18;NA;NA;NA;NA;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2297;Gomez-Mestre et al. 2012;;;Summers et al. 2006;
Amietia_fuscigula;Pyxicephalidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;1,5;0,18;15000;4,18;26493,75;4,42;Han & Fu 2013;;Amphibiaweb;;;Summers et al. 2006;Han & Fu 2013
Amietia_vertebralis;Pyxicephalidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2322;Gomez-Mestre et al. 2012;;;;
Amietophrynus_garmani;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;115;NA;NA;NA;1,1;0,04;16000;4,2;15197,6;4,18;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2281;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012
Amietophrynus_gutturalis;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;102,5;NA;NA;NA;1,475;0,17;20000;4,3;34157,31;4,53;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2270;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Amietophrynus_kisoloensis;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;;;;
Amietophrynus_maculatus;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;60,5;NA;NA;NA;1,325;0,12;5000;3,7;6890,83;3,84;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2186;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012
Amietophrynus_mauritanicus;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;1,5;0,18;NA;NA;NA;NA;Gomez-Mestre et al. 2012, Summers et al. 2006;;Amphibiaweb;;;Han & Fu 2013, Summers et al. 2006;
Amietophrynus_pardalis;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;109;94,8;101,9;-0,06;NA;NA;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;
Amietophrynus_rangeri;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;1,3;0,11;NA;NA;NA;NA;Summers et al. 2006;;Amphibiaweb;;;Summers et al. 2006;
Amietophrynus_regularis;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;100;NA;NA;NA;1,325;0,12;13000;4,11;17916,15;4,25;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2266;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012, Han & Fu 2013
Amietophrynus_xeros;Bufonidae;Agastorophrynia;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;;;;
Amnirana_galamensis;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;74;NA;NA;NA;1,7;0,23;3817,5;3,58;8660,57;3,94;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2224;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Amolops_chunganensis;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;48,1;39,6;43,85;-0,08;2,9;0,46;436;2,64;2878,41;3,46;Han & Fu 2013, Summers et al. 2006;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Amolops_cremnobatus;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;NA;NA;NA;NA;3,6;0,56;NA;NA;NA;NA;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;;Han & Fu 2013;
Amolops_daiyunensis;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;54,5;49,4;51,95;-0,04;2,5;0,4;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;
Amolops_granulosus;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;51,9;39,8;45,85;-0,12;NA;NA;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;
Amolops_hainanensis;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;72,9;80,4;76,65;0,04;2,7;0,43;NA;NA;NA;NA;Gomez-Mestre et al. 2012, Han & Fu 2013;Amphibiaweb;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;
Amolops_lifanensis;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;71,1;54,2;62,65;-0,12;4;0,6;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;
Amolops_loloensis;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;74,2;58,3;66,25;-0,1;4;0,6;153;2,18;1921,68;3,28;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Amolops_mantzorum;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;65,8;52,2;59;-0,1;2,5;0,4;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;
Amolops_marmoratus;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2323;Gomez-Mestre et al. 2012;;;;
Amolops_panhai;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2324;Gomez-Mestre et al. 2012;;;;
Amolops_ricketti;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;60,7;55,9;58,3;-0,04;3;0,48;990;3;6994,35;3,84;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2187;Gomez-Mestre et al. 2012;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Amolops_viridimaculatus;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;98;74,8;86,4;-0,12;NA;NA;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;
Amolops_wuyiensis;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;48,2;41,8;45;-0,06;2;0,3;600;2,78;1884;3,28;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
