Species;Family;Clade;type_of_care;number_of_parents;care_duration;care_duration_in_males;care_in_males_binary;care_duration_in_females;care_in_females_binary;protection;protection_in_males;protection_in_females;nourishment_by_females;nourishment_by_females_binary;terrestrial_reproduction;direct_development;female_SVL ;male_SVL;average_male_female_SVL;SSD;Egg_diameter;Log_egg_diameter;Clutch_size;Log_Clutch_size;Clutch_volume;Log_Clutch_volume;Parental care references;Terrestrial / aquatic reproduction references;Direct development references;Female size references;Male size references;Egg size references;Clutch size references
Odorrana_supranarina;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;92,5;NA;NA;NA;2,75;0,44;1100;3,04;6530,22;3,81;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2255;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Odorrana_swinhoana;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;74,25;60,3;67,28;-0,09;2,5;0,4;45;1,65;220,78;2,34;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2226;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012
Odorrana_tiannanensis;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;100;52;76;-0,28;2;0,3;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;
Odorrana_tormota;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;52;33,8;42,9;-0,19;2,58;0,41;563,75;2,75;2945,75;3,47;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2153;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Odorrana_utsunomiyaorum;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;52;NA;NA;NA;3,7;0,57;100;2;1074,67;3,03;Han & Fu 2013;Amphibiaweb;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Odorrana_versabilis;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;62,3;46,4;54,35;-0,13;3;0,48;101;2;713,57;2,85;Han & Fu 2013;;Gomez-Mestre et al. 2012;Han & Fu 2013;;Han & Fu 2013;Han & Fu 2013
Oophaga_granulifera;Dendrobatidae;Agastorophrynia;biparental care;2;2;1;1;2;1;3;2;3;1;1;NA;absent;20,8;20,7;20,75;0;NA;NA;3;0,48;NA;NA;Amphibiaweb;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;Han & Fu 2013
Oophaga_histrionica;Dendrobatidae;Agastorophrynia;female-only care ;1;2;NA;NA;2;1;3;0;3;1;1;1;absent;35,35;33;34,18;-0,03;1,5;0,18;12;1,08;21,2;1,33;Amphibiaweb + Wikipedia;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012
Oophaga_lehmanni;Dendrobatidae;Agastorophrynia;biparental care;2;2;2;1;2;1;3;3;0;1;1;1;absent;33,2;33,4;33,3;0;1,5;0,18;12;1,08;21,2;1,33;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2013, Han & Fu 2014;Han & Fu 2014;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012
Oophaga_pumilio;Dendrobatidae;Agastorophrynia;biparental care;2;2;1;1;2;1;3;2;3;1;1;1;absent;20,6;20,9;20,75;0,01;1,1;0,04;7,5;0,88;7,12;0,85;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012
Oophaga_speciosa;Dendrobatidae;Agastorophrynia;female-only care ;1;2;0;0;2;1;3;0;3;1;1;NA;absent;29,1;28,4;28,75;-0,01;NA;NA;NA;NA;NA;NA;Amphibiaweb;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;;
Ophryophryne_hansi;Megophryidae;Anomocoela;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2308;Gomez-Mestre et al. 2012;;;;
Ophryophryne_microstoma;Megophryidae;Anomocoela;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;47,3;30,6;38,95;-0,19;1,8;0,26;NA;NA;NA;NA;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;
Opisthothylax_immaculatus;Hyperoliidae;Afrobatrachia;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;34;NA;NA;NA;4,6;0,66;8;0,9;132,88;2,12;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012
Oreobates_quixensis;Craugastoridae;Terrarana;no care;0;0;0;0;0;0;0;0;0;2;1;1;present;53,55;43,8;48,68;-0,09;4,05;0,61;34;1,53;437,78;2,64;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
