"country","state","locality","date","sex","life_stage","genus","order","family","geometry"
"United States","North Carolina","Hewitt","8-Jan-46","male","","Eptesicus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Eptesicus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Plecotus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","male","","Plecotus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","female","","Plecotus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","8-Jan-46","female","","Plecotus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","12-Jan-46","female","","Plecotus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","12-Jan-46","male","","Plecotus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","12-Jan-46","male","","Plecotus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","12-Jan-46","female","","Plecotus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","12-Jan-46","male","","Plecotus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","12-Feb-46","male","","Myotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","12-Feb-46","female","","Myotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt Station","12-Feb-46","male","","Myotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","12-Feb-46","male","","Myotis","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Hewitt","12-Feb-46","male","","Plecotus","Chiroptera","Vespertilionidae",c(-83.6477, 35.309)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Microtus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Microtus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Microtus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Peromyscus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Synaptomys","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Synaptomys","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Peromyscus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Peromyscus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","male","","Peromyscus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Peromyscus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Peromyscus","Rodentia","Cricetidae",c(-83.565443, 35.565648)
"United States","North Carolina","Silers Bald, Great Smoky Mountains National Park","[transcribed directly into formatted date fields]","female","","Blarina","Soricomorpha","Soricidae",c(-83.565443, 35.565648)
