date,mean_flowers,mean_visitation,mean_temp,total_competitors
2015-03-13,0.375,NA,NA,0
2015-03-16,7,NA,NA,0
2015-03-17,7.4,0.07826086956521738,19.22,0
2015-03-18,29.88888888888889,0.12786088735455822,17.766666666666666,0
2015-03-19,18.066666666666666,0.26267857142857143,23,0
2015-03-20,75.66666666666667,0.0062499999999999995,16.5,0
2015-03-22,48.12,0,8.14,0
2015-03-23,108.47619047619048,0,7.199999999999999,0
2015-03-24,57.36666666666667,0.08953535353535354,18.72,0
2015-03-25,277.3666666666667,0.020925541519803817,21.3,0
2015-03-26,92.76666666666667,0,7.92,0
2015-03-27,206.16666666666666,0,13.1,0
2015-03-29,80.08857142857143,NA,NA,0
2015-03-30,188.66666666666666,NA,NA,0
2015-03-31,79.94,NA,NA,0
2015-04-01,223.55555555555554,0,6.8,0
2015-04-02,98.82698412698413,NA,NA,0
2015-04-03,279,0.005955465032487062,9.733333333333333,1
2015-04-05,50.39220779220779,0.07182044887780549,13.379999999999999,0
2015-04-06,334.8484848484849,0.026912238325281806,10.3,1
2015-04-07,54.568138528138526,0.05321212121212121,17.28,0
2015-04-08,99.82683982683983,0.023416598416598416,16.5,1
2015-04-09,56.96666666666667,0.03853340431195102,19.38,5
2015-04-10,158.95959595959596,0.02868589743589743,23.666666666666664,4
2015-04-11,12.983333333333334,0.06,19.5,9
2015-04-12,27.97142857142857,0,16.2,12
2015-04-13,17.22222222222222,0.0404885619812403,15.1,5
2015-04-14,19.78181818181818,0.016666666666666666,21.64,14
2015-04-15,55.38095238095238,0.013333333333333334,25.8,5
2015-04-16,19.233333333333334,0,24.96,13
2015-04-17,8.266666666666666,0,12.533333333333333,7
2015-04-18,4.2,0,15.56,19
2015-04-19,3,0,13.92,19
2015-04-20,44,0,19.433333333333334,10
2015-04-21,2.533333333333333,0,23.6,21
2015-04-22,8.75,0,15.733333333333333,8
2015-04-23,1.6,0,19.04,18
2015-04-24,19.5,0.03703703703703704,20.7,12
2015-04-26,0.6,0,19.56,23
2015-04-27,0,NA,18.133333333333333,10
2015-04-28,0.8,0,15.8,35
2015-04-29,4,0,17.133333333333333,13
2015-04-30,0.2,0,16.7,31
2015-05-01,0.6666666666666666,0,13.433333333333334,14
2015-05-02,0.2,0,17.34,33
2015-05-04,2,0,22.2,19
2015-05-05,0.4,0,22.72,36
