"lnPerform" "lnProt" "Fat.trans" "lnWtgain" "Elytra" "Ec.Weight.trans" "Adult.diet" "EndBBweight" "Developmenttime"
"72" 1.745074792 3.595496222 0.9 5.83773044716594 3.19 3.31 0 1.9818 31
"73" NA NA NA NA 3.308 3.57 1 1.0473 33
"74" 1.681241237 3.856124444 0.74 5.73979291217923 3.197 3.4 1 1.6631 28
"75" 1.649334859 3.723291446 0.64 5.55682806169954 3.282 2.9 1 1.5251 26
"76" 1.666517981 3.827369273 0.97 5.67332326717149 3.255 3.17 0 1.1272 29
"77" 1.463892989 3.498861689 0.73 5.55682806169954 3.08 2.4 0 1.2404 34
"78" 1.522444234 3.740993932 0.66 5.68697535633982 3.274 3.12 1 2.142 25
"79" 1.672097858 3.708250889 0.93 5.72031177660741 3.305 3.66 0 1.4194 26
"80" 1.613841822 4.206987695 0.71 5.74620319054015 3.193 3.39 0 1.0364 32
"81" NA NA NA NA 3.314 3.92 1 1.3256 31
"82" 1.755874856 3.594834356 1.01 5.8171111599632 3.232 3.71 0 1.6495 34
"83" 1.764176132 3.694956002 0.6 5.58724865840025 3.158 2.69 1 1.582 35
"84" 1.700703717 3.51054501 0.81 5.55682806169954 3.252 2.87 0 1.0051 29
"85" 1.7084209 3.521138084 1.1 5.73334127689775 3.347 3.54 1 1.5139 28
"86" 1.474216264 4.022840611 0.73 5.69035945432406 3.286 3.51 1 1.5317 28
"87" 1.260071388 3.665956029 0.67 5.56452040732269 2.997 2.44 0 0.9496 33
"88" 1.790988475 3.601408061 1.15 5.83188247728352 3.164 3.07 0 1.4043 36
"89" 1.667452953 3.975891136 0.77 5.75574221358691 3.224 3.29 1 1.5119 30
"90" NA NA NA NA 3.255 2.96 1 1.395 26
"91" 1.559906625 3.831741834 0.64 5.48063892334199 3.069 2.7 0 0.9274 36
"92" 1.419955748 3.507855872 0.66 5.46806014113513 2.964 2.22 0 0.913 30
"93" 1.706717782 3.755874856 NA 5.64897423816121 3.232 2.91 0 1.4149 29
