USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,7-Jun-30,39.25556,-117.1625,female,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,7-Jun-30,39.25556,-117.1625,male,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Kingston Ranger Station,8-Jun-30,39.25556,-117.1625,female,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Birch Creek,22-Jun-30,39.3959732,-117.0343964,male,,Urocitellus,Rodentia,Sciuridae,7000,7000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Birch Creek,22-Jun-30,39.3959732,-117.0343964,male,,Urocitellus,Rodentia,Sciuridae,7000,7000,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Meadow Creek Ranger Station, Toquima Range",12-Jun-33,38.69389,-116.91917,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Antone Creek, 2 mi S Meadow Creek Ranger Station, Toquima Range",12-Jun-33,38.666252,-116.916578,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Antone Creek, 1.5 mi SE Meadow Creek Ranger Station, Toquima Mts.",13-Jun-33,38.677853,-116.901178,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Antone Creek, 1.5 mi SE Meadow Creek Ranger Station, Toquima Mts.",13-Jun-33,38.677853,-116.901178,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Toquima Range, 2 mi E Meadow Valley Ranger Station",7-Jul-33,38.69348,-116.88243,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Toquima Range, 2 mi E Meadow Valley Ranger Station",7-Jul-33,38.69348,-116.88243,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Jack Creek, 10 mi S Deep Creek",26-May-34,41.49472,-116.09889,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Jack Creek, 10 mi S Deep Creek",26-May-34,41.49472,-116.09889,female,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Jack Creek, 10 mi S Deep Creek",26-May-34,41.49472,-116.09889,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,10 mi S Owyhee,28-May-34,41.80289,-116.09778,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
