"lnPerform" "lnTestes" "lnProt" "Fat.trans" "lnWtgain" "Elytra" "Horn" "Ec.Weight.trans" "Adult.diet" "EndBBweight" "Developmenttime"
"56" 4.01277290852829 2.89037175789616 9.21930011334766 0.4 6.08221891037645 3.36 1.104 3.87 2 1.2972 30
"57" 3.63230910262554 3.17805383034795 8.1300590399928 0.6 5.93224518744801 3.468 1.278 4.52 2 2.3786 28
"58" 3.89589362349826 2.99573227355399 7.1777824161952 0.48 6.02344759296103 3.495 1.257 4.25 2 2.673 30
"59" NA NA NA 0.51 NA 3.345 1.2 3.95 2 1.531 32
"60" 3.75419892023458 2.83321334405622 7.8458075026378 0.4 5.88332238848828 3.347 1.066 4.11 2 1.15 28
"61" 3.69635146895264 2.83321334405622 8.05515773181968 0.58 5.91350300563827 3.575 1.174 4.42 2 1.7133 32
"62" 3.60004824040732 2.89037175789616 8.28096440055337 0.35 5.63121178182137 3.216 1.027 3.79 2 1.2202 36
"63" 3.74004774068834 2.70805020110221 7.98275770201111 0.59 5.96870755998537 3.46 1.044 3.46 2 2.1294 27
"64" 3.37758751602302 2.99573227355399 7.89729647259588 0.42 5.8664680569333 3.231 1.151 3.38 2 1.1428 25
"65" 3.63758615972639 3.17805383034795 8.22951111896446 0.52 6.12905021006055 3.607 1.298 4.45 2 2.479 30
"66" 3.92592591059714 2.94443897916644 7.96901178110648 0.46 6.13988455222626 3.891 1.388 4.63 2 2.3688 34
"67" 3.20274644293832 3.04452243772342 9.35314117060785 0.53 6.06378520868761 3.456 1.205 4.06 2 2.0129 28
"68" NA NA NA NA NA 3.299 1.172 4.3 2 1.4198 30
"69" 4.06216566385787 2.77258872223978 7.85360481309784 0.44 5.84354441703136 3.368 1.152 3.55 2 1.1046 28
"70" 2.62466859216316 2.484906649788 8.52714352226941 0.1 5.00394630594546 3.068 0.78 3.03 2 1.2617 32
"71" 3.8649313978943 3.04452243772342 NA 0.49 6.01126717440416 3.477 1.226 3.5 2 1.5834 32
"72" 3.47196645255036 1.94591014905531 8.33567131479285 0.53 5.87493073085203 3.211 1.094 3.06 2 1.3626 27
"73" 3.64021428213266 2.77258872223978 8.27893600229198 0.34 5.87493073085203 3.271 1.116 3.38 2 1.2115 29
"74" 3.28091121578765 2.89037175789616 8.7649903301691 0.2 5.71042701737487 3.065 0.994 3.53 2 1.3276 32
"75" 3.89995042419388 2.89037175789616 8.02812905943176 0.43 5.8348107370626 3.341 1.162 3.32 2 1.522 32
"76" 3.17805383034795 3.04452243772342 8.40290404501411 0.22 5.59471137960184 3.145 0.917 3.07 2 1.5028 31
"77" 3.58351893845611 2.99573227355399 9.05017161982336 0.23 5.85507192220243 3.218 1.156 3.93 2 1.7954 30
"78" 3.8286413964891 2.99573227355399 8.92877290052426 0.48 5.95842469302978 3.345 1.115 3.58 2 1.351 33
"79" 3.87328217711172 2.77258872223978 8.58185670474196 0.41 5.8111409929767 3.088 0.899 3.11 2 1.1031 33
"80" NA NA NA NA NA NA NA 2.2 2 1.3806 38
"81" NA 2.56494935746154 8.84793475332846 0.09 4.74493212836325 2.927 0.431 3.35 2 1.7543 39
"82" 3.67376581630389 2.83321334405622 7.78322401633604 0.67 5.84354441703136 3.334 1.123 3.81 2 1.6579 29
"83" 3.75185425327532 2.89037175789616 8.99788945020072 0.34 5.59842195899838 3.036 0.818 2.79 2 0.877 32
"84" 3.5055573969864 2.77258872223978 8.70051424854327 0.22 5.4553211153577 2.989 0.702 2.72 2 1.0711 31
"85" 3.98527346716774 2.99573227355399 8.25322764558177 0.65 6.01859321449623 3.525 1.165 3.41 2 1.3656 28
"86" 3.73050112880476 2.77258872223978 7.48436864328613 0.37 5.73657229747919 3.244 0.867 2.96 2 1.3407 29
"87" 3.78872478908365 3.09104245335832 8.16280135349207 0.53 6.02344759296103 3.463 1.129 3.57 2 1.249 27
"88" 3.37073817417745 3.36729582998647 8.25322764558177 0.47 6.08677472691231 3.51 1.195 4.16 2 1.7075 31
"89" 3.5055573969864 3.04452243772342 7.95155933115525 0.36 5.59098698051086 3.255 0.755 2.56 2 1.0857 28
"90" 2.69462718077007 2.89037175789616 8.1605182474775 0.42 5.63121178182137 3.169 0.905 2.83 2 1.4622 29
"91" 3.15273602236366 2.70805020110221 8.89206162554694 0.21 6.04025471127741 3.626 1.18 4.75 2 1.9657 33
"92" 3.79997350161952 2.89037175789616 9.42060129745938 0.38 5.97635090929793 3.43 1.054 3.87 2 1.3778 30
"93" 3.2846635654062 3.09104245335832 8.26204284396694 0.74 5.8348107370626 3.361 1.206 4.7 2 1.8725 34
"94" 3.79997350161952 3.09104245335832 8.88266929130804 0.74 5.95324333428778 3.363 1.123 3.7 2 1.1311 31
"95" 3.65065824129374 2.89037175789616 8.45701846838017 0.36 5.74939298590825 3.371 0.926 3.14 2 1.3557 27
"96" NA NA NA NA NA NA NA 2.41 2 0.8739 29
"97" 3.70868208141012 2.89037175789616 7.83991936001258 0.77 5.94803498918065 3.33 1.135 3.72 2 1.3772 28
"98" NA NA NA NA NA NA NA 2.39 2 0.88 30
