site,mean_longevity,mean_pollinator_hours,mean_seed_set
1,9,70.7,40.18119296078435
2,8.75,54.25,64.21151671269942
3,7.777777777777778,48.22222222222222,73.12547207756067
4,11,52,93.38507877664505
5,9.777777777777779,64.33333333333333,64.36563347951783
6,8.88888888888889,62.333333333333336,62.521731627102454
7,8.125,52.625,46.4123883677445
8,9.666666666666666,64.77777777777777,50.17143744365587
